2026-05-26 14:12:14 | INFO     | app.core.logging:setup_logging:54 | Logging initialized for UniConnect v1.0.0
2026-05-26 14:12:14 | INFO     | app.main:lifespan:21 | Database connection check passed
2026-05-26 14:13:55 | INFO     | app.services.document:_save_file:156 | File saved: /app/uploads/00000000-0000-0000-0000-000000000001/00000000-0000-0000-0000-000000000001_Baseline_Impact and mitigation.pdf
2026-05-26 14:13:56 | INFO     | app.services.document:_extract_pdf_text:204 | PDF: text-based (14785 chars, 370 avg/page) — PyPDF2 used
2026-05-26 14:13:56 | INFO     | app.repositories.document:create_document:48 | Document created: Baseline_Impact and mitigation.pdf (ID: e78d3198-86ff-46d8-b9c2-2f5d9516be91)
2026-05-26 14:13:56 | INFO     | app.services.document:upload_document:76 | Document uploaded: Baseline_Impact and mitigation.pdf (ID: e78d3198-86ff-46d8-b9c2-2f5d9516be91, text_len=14785)
2026-05-26 14:13:56 | INFO     | app.api.v1.documents:upload_document:61 | Document uploaded: Baseline_Impact and mitigation.pdf — pipeline queued
2026-05-26 14:13:56 | INFO     | app.repositories.document:update_document_status:109 | Document updated: e78d3198-86ff-46d8-b9c2-2f5d9516be91, status: processing
2026-05-26 14:13:56 | DEBUG    | app.services.chunking:split_text:29 | LangChain unavailable — using simple word splitter
2026-05-26 14:13:56 | INFO     | app.repositories.document_chunk:create_chunks:37 | Created 15 chunks for document e78d3198-86ff-46d8-b9c2-2f5d9516be91
2026-05-26 14:13:56 | INFO     | app.services.embeddings:__init__:33 | Embedding provider: Google Gemini (text-embedding-004 via REST v1)
2026-05-26 14:13:56 | INFO     | app.services.chromadb_client:_build_client:116 | ChromaDB: connected via HTTP (chromadb:8000)
2026-05-26 14:14:14 | DEBUG    | app.services.chromadb_client:upsert:71 | Upserted 15 vectors into ChromaDB collection 'uniconnect_knowledge'
2026-05-26 14:14:14 | INFO     | app.repositories.document:update_document_status:109 | Document updated: e78d3198-86ff-46d8-b9c2-2f5d9516be91, status: completed
2026-05-26 14:14:14 | INFO     | app.services.document:process_document_pipeline:401 | Pipeline complete: document e78d3198-86ff-46d8-b9c2-2f5d9516be91, 15 chunks indexed
2026-05-26 14:15:02 | INFO     | app.services.embeddings:__init__:33 | Embedding provider: Google Gemini (text-embedding-004 via REST v1)
2026-05-26 14:15:03 | INFO     | app.services.chromadb_client:_build_client:116 | ChromaDB: connected via HTTP (chromadb:8000)
2026-05-26 14:15:03 | INFO     | app.services.chat:ask_question:273 | Vector search: 5 relevant chunks (best=74%)
2026-05-26 14:15:03 | INFO     | app.services.chat:ask_question:294 | Keyword search: 3 chunks matched
2026-05-26 14:15:03 | INFO     | app.services.chat:ask_question:316 | Hybrid search merged 5 chunks (vector=5, keyword=3)
2026-05-26 14:15:03 | WARNING  | app.services.chat:_call_gemini:172 | Gemini 429 on gemini-2.0-flash-lite — waiting 56s (attempt 1/2)
2026-05-26 14:16:00 | WARNING  | app.services.chat:_call_gemini:172 | Gemini 429 on gemini-2.0-flash-lite — waiting 59s (attempt 2/2)
2026-05-26 14:17:00 | WARNING  | app.services.chat:_call_gemini:172 | Gemini 429 on gemini-2.0-flash — waiting 58s (attempt 1/2)
2026-05-26 14:17:59 | WARNING  | app.services.chat:_call_gemini:172 | Gemini 429 on gemini-2.0-flash — waiting 0s (attempt 2/2)
2026-05-26 14:18:00 | ERROR    | app.services.chat:ask_question:348 | Gemini generation failed: 429 {
  "error": {
    "code": 429,
    "message": "You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-a
2026-05-26 14:19:54 | INFO     | app.services.document:_save_file:156 | File saved: /app/uploads/00000000-0000-0000-0000-000000000001/00000000-0000-0000-0000-000000000001_mergednote of environmental.pdf
2026-05-26 14:19:57 | INFO     | app.services.document:_extract_pdf_text:204 | PDF: text-based (542730 chars, 3667 avg/page) — PyPDF2 used
2026-05-26 14:19:57 | INFO     | app.repositories.document:create_document:48 | Document created: mergednote of environmental.pdf (ID: 5efe45d0-5480-4365-94ba-8fb91c85c2cc)
2026-05-26 14:19:57 | INFO     | app.services.document:upload_document:76 | Document uploaded: mergednote of environmental.pdf (ID: 5efe45d0-5480-4365-94ba-8fb91c85c2cc, text_len=542730)
2026-05-26 14:19:57 | INFO     | app.api.v1.documents:upload_document:61 | Document uploaded: mergednote of environmental.pdf — pipeline queued
2026-05-26 14:19:57 | INFO     | app.repositories.document:update_document_status:109 | Document updated: 5efe45d0-5480-4365-94ba-8fb91c85c2cc, status: processing
2026-05-26 14:19:57 | DEBUG    | app.services.chunking:split_text:29 | LangChain unavailable — using simple word splitter
2026-05-26 14:19:57 | INFO     | app.repositories.document_chunk:create_chunks:37 | Created 141 chunks for document 5efe45d0-5480-4365-94ba-8fb91c85c2cc
2026-05-26 14:19:57 | INFO     | app.services.embeddings:__init__:33 | Embedding provider: Google Gemini (text-embedding-004 via REST v1)
2026-05-26 14:19:57 | INFO     | app.services.chromadb_client:_build_client:116 | ChromaDB: connected via HTTP (chromadb:8000)
2026-05-26 14:21:02 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 15s (attempt 1/3)
2026-05-26 14:21:17 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 30s (attempt 2/3)
2026-05-26 14:21:48 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 45s (attempt 3/3)
2026-05-26 14:22:35 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 15s (attempt 1/3)
2026-05-26 14:22:51 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 30s (attempt 2/3)
2026-05-26 14:23:23 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 15s (attempt 1/3)
2026-05-26 14:23:39 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 30s (attempt 2/3)
2026-05-26 14:24:11 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 15s (attempt 1/3)
2026-05-26 14:24:27 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 30s (attempt 2/3)
2026-05-26 14:24:59 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 15s (attempt 1/3)
2026-05-26 14:25:15 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 30s (attempt 2/3)
2026-05-26 14:25:46 | WARNING  | app.services.embeddings:_embed_with_gemini:117 | Embedding 429 rate limit — waiting 45s (attempt 3/3)
